Status,Bereich,Schlüssel,Wo es erscheint,Englisch,Deutsch,Französisch,Lëtzebuergesch
OFFEN,1 Oberfläche,june,"Knöpfe, Titel, Menüs",June,Juni,Juin,Juni
OFFEN,1 Oberfläche,noEventsYetSub,"Knöpfe, Titel, Menüs",New events are added by the team and partners. Pull to refresh.,Neue Events werden vom Team und Partnern hinzugefügt. Zum Aktualisieren nach unten ziehen.,De nouveaux événements sont ajoutés par l'équipe et les partenaires. Tirez pour actualiser.,Nei Eventer gi vum Team a vu Partner bäigefüügt. Zéi no ënne fir ze aktualiséieren.
OFFEN,1 Oberfläche,tryRemovingFilter,"Knöpfe, Titel, Menüs",Try removing a filter above.,Entferne einen Filter oben.,Retire un filtre ci-dessus.,Huel e Filter hei uewen ewech.
OFFEN,1 Oberfläche,failedToLoad,"Knöpfe, Titel, Menüs",Failed to load events,Events konnten nicht geladen werden,Impossible de charger les événements,Eventer konnten net gelueden ginn
OFFEN,1 Oberfläche,confirmDelete,"Knöpfe, Titel, Menüs",Permanently delete your account and all data?,Konto und alle Daten wirklich unwiderruflich löschen?,Supprimer définitivement le compte et toutes les données ?,Däi Kont an all Donnéeë wierklech definitiv läschen?
OFFEN,1 Oberfläche,preferencesTitle,"Knöpfe, Titel, Menüs",Preferences,Einstellungen,Préférences,Astellungen
OFFEN,1 Oberfläche,notifyOnMatch,"Knöpfe, Titel, Menüs",Notify me when new events match my preferences,"Benachrichtige mich bei neuen Events, die zu meinen Präferenzen passen",M'avertir des nouveaux événements correspondant à mes préférences,Sot mir Bescheed wa nei Eventer zu mengen Astellunge passen
OFFEN,1 Oberfläche,notifyBuildHint,"Knöpfe, Titel, Menüs",Requires the published app build (not Expo Go) and granted notification permission.,Erfordert den veröffentlichten App-Build (nicht Expo Go) und die erteilte Benachrichtigungsberechtigung.,Nécessite la version publiée de l'app (pas Expo Go) et l'autorisation des notifications.,Erfuerdert de verëffentlechten App-Build (net Expo Go) an d'Erlaabnis fir Notifikatiounen.
OFFEN,1 Oberfläche,sponsorIntro,"Knöpfe, Titel, Menüs",Boost your event with a featured placement at the top of Home and Events for families across Luxembourg.,Bring dein Event mit einer Featured-Platzierung ganz oben auf Home & Events vor Familien in ganz Luxemburg.,Boostez votre événement avec un placement mis en avant en haut de l'Accueil et des Événements pour les familles luxembourgeoises.,Bréng däin Event mat enger Featured-Plaz ganz uewen op Start & Eventer virun d'Famillen a ganz Lëtzebuerg.
OFFEN,1 Oberfläche,sponsorTrust,"Knöpfe, Titel, Menüs",Secure payment with Stripe. Cancel anytime by contacting support.,Sichere Zahlung mit Stripe. Jederzeit kündbar über den Support.,Paiement sécurisé avec Stripe. Annulation à tout moment via le support.,Sécher bezuele mat Stripe. Zu all Moment kënnegbar iwwer de Support.
OFFEN,1 Oberfläche,plan1Month,"Knöpfe, Titel, Menüs",1 month,1 Monat,1 mois,1 Mount
OFFEN,1 Oberfläche,plan3Months,"Knöpfe, Titel, Menüs",3 months,3 Monate,3 mois,3 Méint
OFFEN,1 Oberfläche,plan6Months,"Knöpfe, Titel, Menüs",6 months,6 Monate,6 mois,6 Méint
OFFEN,1 Oberfläche,planSave18,"Knöpfe, Titel, Menüs",Save EUR 18,Spare EUR 18,Économisez 18 EUR,Spuer 18 EUR
